discrete continuous
true -3.8932315052129463
true 3.466498152578032
false 19.920737545931487
true -1.16407185754987
false -20.74856365831945
false -21.119400196148984
false -19.672228477355393
true -3.742531225620902
true -4.445828399522328
true 2.5168983561165073
true 5.914046779310879
false -18.844473925153196
false 23.568347895733986
false -21.609591247320736
true 3.958027787831002
true 1.0406700456886535
true -0.8115683545797383
false -14.60762317441954
true -9.087762262208223
true 0.7866230878044723
true 2.687218678935192
false -18.75582819880225
false 16.535430024415028
true -6.290789664240654
true 5.262287829123452
true -2.46392183530384
false -22.63089639025524
false -22.493120918757036
true -4.135371593104559
true -2.5122236878022406
false -20.675736100613364
true -3.1065794002530436
false 22.60199989055302
false -16.932983878705034
true -1.8637407815035953
false -19.306603329084673
true 2.4845424441793424
false -21.185756531787632
false 16.11810686163643
false 21.517072166019155
true -1.7977542258293884
false 26.54123554680616
false -20.790438520638848
true -4.871556237385393
true 2.7017073331599044
false -18.79782588279634
false -13.570799049428642
false 19.755361208805336
false -22.78108407129904
false 22.315998199007087
true 1.378211903704554
true -4.930448688016584
false -22.693666571949592
true -5.149261867190166
false -17.326591071461916
true -6.522897224927167
true 2.0885889880082127
true 0.8272862517468913
false -20.598311074198634
false -17.990179065726153
true -1.2147295149100579
true 0.7345491480834214
false -22.04041546640186
false -22.244910074754923
true -3.0651856916794604
true 7.5505426278191505
false 23.622664377999605
false 22.772449880477716
true 4.17963698716755
true -1.698226713333155
false 17.208344646147925
true 1.7678866122304746
true 4.305809510514033
false -19.513990418491534
false 20.659721665302058
false -24.861346166857395
false 18.363113336381886
false -18.444432324915777
false -16.09481330927337
true 0.9421867967071164
false 21.6853580628539
true -0.021970419402540946
true 2.7262357255388245
false -17.394978908080564
true -10.504829010295733
true 2.1681568155684774
false 22.644613947209884
true 8.309700691039447
false -17.78365524459949
true -4.457585266187001
false -22.86653604415608
false 24.176632805101363
false 24.16707326710497
true 7.038937852613323
true -4.752519427610097
false 16.395541886805045
true -5.6751807404003705
false 16.98652426558906
true -0.2437301702927893
true 3.150321622943704
false -20.639114239780533
false -16.006596579788667
false 18.159730263577583
true -2.7643501372755646
true 2.963324326824871
true 2.546077735543666
true 2.489308995226341
true -2.7469226832605806
false -16.255550812969503
false -22.23217265240473
true 2.357851124473398
true -4.560232760788856
false -19.144761616848733
false -21.90572646825241
true 0.8169221005779846
true 4.097454530859347
true -3.525224923465178
false -24.635801111176587
true 0.6804168780203088
true 5.411906462992444
false 21.0020632562474
false -18.234037296114632
false -19.381658883031644
false -21.18903379721959
false -18.680862628946233
true -1.046966658210356
false 20.27580156785124
true 3.2615497539883296
true -0.9048647291274852
true 2.878055394703392
true -2.8366165980109823
true -0.2610160706449132
true -1.906810939094503
true -3.705802511913552
false 19.638968693392453
false 26.84193959182447
true 0.3798571743061147
true 7.191147969478773
true 2.23263342236158
true -7.36504804964405
true -2.778706357369364
false -20.763915615996375
false -19.281075905367658
false 27.12986186756024
true 3.394775388697608
true 2.897015007979854
false -18.480690398928992
false 20.558552507047793
false 22.419013415853215
false -18.289548047896023
false -20.113168340793056
true 1.78815176862685
true -0.9399702155572892
false 14.74115455120134
false 14.322670708705221
false -17.745131719879282
true -0.06838988076425102
true -9.954724582286518
false 19.38566025057782
false 20.698816995581524
true 3.86222454312661
true -4.371622499170588
true -3.884518485053899
false 22.828044038442044
true 1.0270084427042196
true 5.962488661238577
false -21.754513223025185
true -0.7561335334530552
true -1.0349503290846405
false 22.967239425192844
true -4.126816296187036
false 21.96139106570318
true -6.367383235672058
false -16.70930555364926
false 17.11792398268582
true 3.00979825899452
false -21.525815247583548
false -15.896144098952714
false -23.00527745152531
false -22.621080167958773
false -17.23342491901996
true 1.8026532553218224
false 19.394823702953502
false -15.696493243300875
true -0.505578780879134
true -5.056638302477304
false -16.946837043160215
true 3.5141141498209167
true -0.6950275031341667
false 20.100495234536073
true 0.26443882156779924
false 22.209705131187388
false -19.516635359139404
false -19.755862407918027
false 18.46797747499259
true 1.2316017597798234
true 1.8220449400569825
false -19.50017809006815
false -18.829985240119075
true 1.4061573166215462
true 4.33420912458579
true -4.3242404075011
true 1.0500853173531948
true -2.2523340716859233
false -19.88474014548309
false 22.292285036728867
false -16.046260646184326
false -23.050039626643212
true -3.9763694149472024
true 8.20102611626593
false -20.941886532447814
false -20.086489505864083
true -0.17725089427291568
false 23.74957187417513
true 4.986597078332268
false 19.493294743805137
true 5.9946718211758325
true 4.999313028775873
false -21.82409298860992
false -16.009724187570118
true 1.4540325940541088
false -21.93838105660295
false 22.841876171945184
true -6.045870098105639
true -3.2200890106609887
true 0.11686305273356619
true 4.082873663716607
true 1.443662967879577
false 18.735766035751755
true 4.723176792404461
false 22.711868175044927
true -3.084036565291946
true 3.85369198619587
false 17.139464180623335
false 18.789422424393113
false 18.47165601258612
false 20.99067407900885
false 19.2506384127345
false 19.173766969135116
false -18.881484266199315
true 5.219245354045703
false -21.67325328161995
false -21.033686504659055
true -5.109989543410175
true 4.059518458497906
true -0.2608984615881028
true -6.01558001711391
true -0.43721481919707766
true -0.626598401809364
true 1.6648003752539264
false 19.4706981843026
false -23.478693814717897
false 23.73632983768591
true -3.356251362861526
